Score,Perfil,Aposta Necessaria,Jackpot,Jogadores Restantes,Desistentes,Continuar
9,2,5.9,11.1,4,0,1
10,0,5.3,10.7,3,1,1
10,1,6.2,12.3,2,0,1
10,2,7.2,13.6,4,0,1
5,0,1.4,3.7,2,3,0
5,1,2.3,5.5,3,1,1
5,2,3.4,6.9,4,0,1
4,0,0.9,3.1,2,4,0
4,1,1.5,4.6,1,5,0
4,2,2.6,6.0,3,2,1
3,0,0.6,2.5,2,4,0
3,1,1.3,3.7,3,2,1
3,2,2.0,4.4,1,5,0
2,0,0.3,1.9,3,2,0
2,1,0.8,2.6,4,1,1
2,2,1.4,3.2,2,4,0
1,0,0.2,1.3,2,3,0
1,1,0.4,1.6,3,2,0
1,2,0.9,2.1,4,1,0
6,0,2.3,4.8,2,3,0
6,1,3.1,6.4,3,1,1
6,2,3.8,7.7,4,0,1
7,0,2.1,5.1,3,2,1
7,1,2.9,6.3,2,4,0
7,2,3.7,7.5,4,1,1
8,0,3.4,7.9,2,3,1
8,1,4.0,8.4,3,2,1
8,2,5.0,9.9,4,1,1
9,0,4.3,8.6,3,1,1
9,1,4.9,10.2,2,0,1
9,2,5.8,11.4,4,1,1
10,0,5.5,11.5,2,1,1
10,1,6.4,12.8,3,0,1
10,2,7.5,14.0,4,0,1
5,0,1.2,4.1,3,2,0
5,1,2.4,5.7,2,3,1
5,2,3.5,7.0,4,1,1
4,0,1.0,3.3,3,2,0
4,1,1.6,4.8,1,5,0
4,2,2.7,6.3,4,0,1
3,0,0.7,2.7,2,3,0
3,1,1.2,3.6,4,1,1
3,2,1.9,4.2,3,2,0
2,0,0.5,2.0,3,2,0
2,1,1.1,2.8,2,3,0
2,2,1.8,3.7,4,0,1
1,0,0.3,1.4,2,4,0
1,1,0.6,1.9,3,3,0
1,2,1.1,2.6,4,1,0
6,0,1.8,4.9,2,3,0
6,1,2.6,6.5,3,2,1
6,2,3.3,7.8,4,0,1
7,0,2.2,5.4,3,2,1
7,1,3.0,6.7,4,1,1
7,2,3.9,8.0,2,4,0
8,0,3.5,7.6,2,3,1
8,1,4.1,8.3,3,2,1
8,2,5.2,9.7,4,1,1
9,0,4.0,8.2,3,1,1
9,1,4.7,9.5,2,0,1
9,2,5.6,10.9,4,0,1
10,0,5.0,10.5,2,2,1
10,1,5.8,11.7,3,1,1
10,2,6.9,13.0,4,0,1
5,0,1.3,4.5,3,2,0
5,1,2.2,5.9,2,3,1
5,2,3.1,7.2,4,1,1
4,0,0.9,3.4,2,4,0
4,1,1.7,4.9,3,1,1
3,0,0.5,2.3,2,3,0
3,1,0.9,3.1,1,4,0
3,2,1.2,3.8,3,2,1
4,0,1.0,4.0,3,3,1
4,1,1.5,4.8,2,2,1
4,2,1.9,5.6,4,1,1
5,0,1.1,3.6,3,2,0
5,1,1.8,4.7,4,1,1
5,2,2.5,5.9,2,3,1
6,0,1.7,4.4,2,3,0
 
